bib_record_number,item_barcode,book_title,call_number,lent_out,page,call_num_comp,call_num_comp_trim
000681782,06017710,文化驱动新型城镇化 :北京定福庄发展模式研究,2016/F299.271/2,FALSE,308,F.299271            :..                  /2016/00002/               ,F.299271            :..                 
000403221,05910715,北京建设世界城市战略研究,F299.271/0722,FALSE,393,F.299271            :..                  /9999/00722/               ,F.299271            :..                 
000264400,05571685,北京城乡发展报告,F299.271/1010,FALSE,284,F.299271            :..                  /9999/01010/               ,F.299271            :..                 
000317306,05704517,中国城乡一体化发展报告,F299.271/1242,FALSE,282,F.299271            :..                  /9999/01242/               ,F.299271            :..                 
000238422,05487809,首都发展与城市管理创新,F299.271/2657,FALSE,321,F.299271            :..                  /9999/02657/               ,F.299271            :..                 
000260787,05564683,北京城市产业体系选择研究 :培育世界城市的战略引擎,F299.271/2771,FALSE,278,F.299271            :..                  /9999/02771/               ,F.299271            :..                 
000260787,05564684,北京城市产业体系选择研究 :培育世界城市的战略引擎,F299.271/2771,FALSE,278,F.299271            :..                  /9999/02771/               ,F.299271            :..                 
000309416,05690160,人文北京与社会建设,F299.271/3144,FALSE,214,F.299271            :..                  /9999/03144/               ,F.299271            :..                 
000332554,05750186,面向世界城市的北京发展趋势研究,F299.271/4061,FALSE,338,F.299271            :..                  /9999/04061/               ,F.299271            :..                 
000343292,05791776,北京建设世界城市的模式与战略研究,F299.271/4428,FALSE,185,F.299271            :..                  /9999/04428/               ,F.299271            :..                 
000332282,05750458,北京首都圈发展规划研究 :建设世界城市的新视角,F299.271/7144,FALSE,250,F.299271            :..                  /9999/07144/               ,F.299271            :..                 
000386972,05883769,城市转型与绿色发展,F299.271/7595,FALSE,324,F.299271            :..                  /9999/07595/               ,F.299271            :..                 
000189294,05378944,奥运北京,F299.271/7790,FALSE,161,F.299271            :..                  /9999/07790/               ,F.299271            :..                 
000189294,05378945,奥运北京,F299.271/7790,FALSE,161,F.299271            :..                  /9999/07790/               ,F.299271            :..                 
000280314,05619541,京津冀“双核+双子”模式城市化进程研究,F299.272/1734,FALSE,297,F.299272            :..                  /9999/01734/               ,F.299272            :..                 
000264449,05571808,京津冀都市圈理论与实践的新进展,F299.272/3624,FALSE,410,F.299272            :..                  /9999/03624/               ,F.299272            :..                 
000327150,05742371,沿黄三城市群发展机制研究,F299.272/4445,FALSE,300,F.299272            :..                  /9999/04445/               ,F.299272            :..                 
000374552,05869362,城市化进程中低收入居民住区发展模式探索 :中国辽宁棚户区改造的经验 :the,F299.2731/2771,FALSE,437,F.2992731           :..                  /9999/02771/               ,F.2992731           :..                 
000273831,05600627,生态城市前沿探索 :可持续发展的大连模式,F299.27313/0273,FALSE,250,F.29927313          :..                  /9999/00273/               ,F.29927313          :..                 
000361161,05833932,海城模式：三化并举 协调发展 :海城市科学发展道路研究,F299.27314/3444,FALSE,256,F.29927314          :..                  /9999/03444/               ,F.29927314          :..                 
000053182,05197686,西部边境城市发展模式研究,F299.274/1043/T21,FALSE,407,F.299274            :..                  /9999/01043/T21            ,F.299274            :..                 
000271705,05589527,白银模式,F299.27423/4020/v.2,FALSE,328,F.29927423          :..                  /9999/04020/v.2            ,F.29927423          :..                 
000682016,06041666,江南市镇——建筑 艺术 人文,2016/F299.275/2,FALSE,250,F.299275            :..                  /2016/00002/               ,F.299275            :..                 
000781180,11045524,上海社会资源发展潜力及高质量开发研究 :打造2050年全球城市上海,2018/F299.275/1,FALSE,209,F.299275            :..                  /2018/00001/               ,F.299275            :..                 
000784457,10063488,城市化与农村人口转移 :来自山东省的报告,2018/F299.275/3,FALSE,223,F.299275            :..                  /2018/00003/               ,F.299275            :..                 
000770555,11041877,城乡一体化发展 :苏州实践与特色 :Suzhou practice and its characteristics,2018/F299.275/4,FALSE,284,F.299275            :..                  /2018/00004/               ,F.299275            :..                 
000444424,05996808,长三角地区城市发展的路径选择 :转型与创新,F299.275/0201,FALSE,524,F.299275            :..                  /9999/00201/               ,F.299275            :..                 
000172913,05341507,企业集聚与城市发展的制度分析 :长江三角洲地区城市发展的路径探究,F299.275/1021,FALSE,215,F.299275            :..                  /9999/01021/               ,F.299275            :..                 
000353287,05821456,统筹城乡发展报告（2012） :长三角城乡一体化进程,F299.275/2842,FALSE,262,F.299275            :..                  /9999/02842/               ,F.299275            :..                 
000349634,05814600,长江三角洲城市群转型发展研究,F299.275/2847,FALSE,297,F.299275            :..                  /9999/02847/               ,F.299275            :..                 
000192353,05391009,长江三角洲城市综合竞争力报告,F299.275/4737,FALSE,281,F.299275            :..                  /9999/04737/               ,F.299275            :..                 
000360756,05833976,第四增长极 :崛起的长江中游城市群 :the rising of the changjiang middle reaches megalop,F299.275/5080,FALSE,284,F.299275            :..                  /9999/05080/               ,F.299275            :..                 
000292474,05641112,长江三角洲地区的城市合作与管治,F299.275/6094,FALSE,222,F.299275            :..                  /9999/06094/               ,F.299275            :..                 
000185407,05373698,长江三角洲城市群发展研究,F299.275-53/4098,FALSE,274,F.299275!53         :..                  /9999/04098/               ,F.299275!53         :..                 
000185407,05373699,长江三角洲城市群发展研究,F299.275-53/4098,FALSE,274,F.299275!53         :..                  /9999/04098/               ,F.299275!53         :..                 
000215679,05434734,上海迈向国际经济中心城市,F299.2751/1041,FALSE,327,F.2992751           :..                  /9999/01041/               ,F.2992751           :..                 
000215679,05434735,上海迈向国际经济中心城市,F299.2751/1041,FALSE,327,F.2992751           :..                  /9999/01041/               ,F.2992751           :..                 
